# Redshift, Select Output
1.24192362, Snipshot
1.24033520, Snipshot
1.23874933, Snipshot
1.23716596, Snipshot
1.23558511, Snipshot
1.23400679, Snipshot
1.23243096, Snipshot
1.23085764, Snipshot
1.22928682, Snipshot
1.22771847, Snipshot
1.22615261, Snipshot
1.22458923, Snipshot
1.22302832, Snipshot
1.22146986, Snipshot
1.21991385, Snipshot
1.21836029, Snipshot
1.21680917, Snipshot
1.21526049, Snipshot
1.21371423, Snipshot
1.21217040, Snipshot
1.21062898, Snipshot
1.21000000, Snapshot
1.20908996, Snipshot
1.20755337, Snipshot
1.20601916, Snipshot
1.20448733, Snipshot
1.20295789, Snipshot
1.20143083, Snipshot
1.19990614, Snipshot
1.19838383, Snipshot
1.19686386, Snipshot
1.19534624, Snipshot
1.19383100, Snipshot
1.19231807, Snipshot
1.19080748, Snipshot
1.18929921, Snipshot
1.18779329, Snipshot
1.18628966, Snipshot
1.18478835, Snipshot
1.18328934, Snipshot
1.18179264, Snipshot
1.18029822, Snipshot
1.17880610, Snipshot
1.17731624, Snipshot
1.17582866, Snipshot
1.17434336, Snipshot
1.17286033, Snipshot
1.17137956, Snipshot
1.16990102, Snipshot
1.16842473, Snipshot
1.16695068, Snipshot
1.16547889, Snipshot
1.16400931, Snipshot
1.16254193, Snipshot
1.16107680, Snipshot
1.15961388, Snipshot
1.15815315, Snipshot
1.15669464, Snipshot
1.15523830, Snipshot
1.15378418, Snipshot
1.15233221, Snipshot
1.15088246, Snipshot
1.14943483, Snipshot
1.14798941, Snipshot
1.14654614, Snipshot
1.14510501, Snipshot
1.14366604, Snipshot
1.14222924, Snipshot
1.14079456, Snipshot
1.13936202, Snipshot
1.13793160, Snipshot
1.13650332, Snipshot
1.13507715, Snipshot
1.13365308, Snipshot
1.13223114, Snipshot
1.13081130, Snipshot
1.12939355, Snipshot
1.12797790, Snipshot
1.12656434, Snipshot
1.12515284, Snipshot
1.12374344, Snipshot
1.12233609, Snipshot
1.12093081, Snipshot
1.11952761, Snipshot
1.11812647, Snipshot
1.11672737, Snipshot
1.11533032, Snipshot
1.11393530, Snipshot
1.11254232, Snipshot
1.11115138, Snipshot
1.10976245, Snipshot
1.10837556, Snipshot
1.10699067, Snipshot
1.10560781, Snipshot
1.10422694, Snipshot
1.10284807, Snipshot
1.10147121, Snipshot
1.10009633, Snipshot
1.09872346, Snipshot
1.09735254, Snipshot
1.09598360, Snipshot
1.09461666, Snipshot
1.09325168, Snipshot
1.09188866, Snipshot
1.09052759, Snipshot
1.08916848, Snipshot
1.08781131, Snipshot
1.08645608, Snipshot
1.08510280, Snipshot
1.08375145, Snipshot
1.08240204, Snipshot
1.08105454, Snipshot
1.08000000, Snapshot
1.07970898, Snipshot
1.07836531, Snipshot
1.07702356, Snipshot
1.07568373, Snipshot
1.07434579, Snipshot
1.07300975, Snipshot
1.07167560, Snipshot
1.07034334, Snipshot
1.06901297, Snipshot
1.06768447, Snipshot
1.06635785, Snipshot
1.06503310, Snipshot
1.06371022, Snipshot
1.06238919, Snipshot
1.06107003, Snipshot
1.05975271, Snipshot
1.05843723, Snipshot
1.05712362, Snipshot
1.05581183, Snipshot
1.05450188, Snipshot
1.05319378, Snipshot
1.05188747, Snipshot
1.05058300, Snipshot
1.04928036, Snipshot
1.04797952, Snipshot
1.04668048, Snipshot
1.04538327, Snipshot
1.04408786, Snipshot
1.04279421, Snipshot
1.04150238, Snipshot
1.04021232, Snipshot
1.03892408, Snipshot
1.03763758, Snipshot
1.03635288, Snipshot
1.03506994, Snipshot
1.03378878, Snipshot
1.03250936, Snipshot
1.03123171, Snipshot
1.02995583, Snipshot
1.02868168, Snipshot
1.02740929, Snipshot
1.02613863, Snipshot
1.02486971, Snipshot
1.02360254, Snipshot
1.02233709, Snipshot
1.02107336, Snipshot
1.01981136, Snipshot
1.01855107, Snipshot
1.01729250, Snipshot
1.01603566, Snipshot
1.01478049, Snipshot
1.01352705, Snipshot
1.01227530, Snipshot
1.01102525, Snipshot
1.00977689, Snipshot
1.00853020, Snipshot
1.00728520, Snipshot
1.00604188, Snipshot
1.00480026, Snipshot
1.00356029, Snipshot
1.00232198, Snipshot
1.00108535, Snipshot
0.99985038, Snipshot
0.99861705, Snipshot
0.99738539, Snipshot
0.99615537, Snipshot
0.99492699, Snipshot
0.99370026, Snipshot
0.99247516, Snipshot
0.99125171, Snipshot
0.99002986, Snipshot
